Target,Actual,Predicted,Residual
Ra,5.629,5.5159,0.1131
Ra,5.677,5.3907,0.2863
Ra,5.645,5.3369,0.3081
Ra,5.687,5.2434,0.4436
Ra,5.816,5.5195,0.2965
Ra,5.533,5.328,0.205
Ra,5.629,5.2783,0.3507
Ra,5.629,5.2025,0.4265
Ra,5.404,5.1902,0.2138
Ra,5.516,5.4304,0.0856
Ra,5.461,5.3088,0.1522
Ra,5.57,5.5669,0.0031
Ra,6.067,5.5805,0.4865
Ra,6.846,6.3911,0.4549
Ra,6.49,6.4014,0.0886
Ra,6.359,6.0228,0.3362
Ra,6.582,6.4508,0.1312
Ra,6.445,6.3773,0.0677
Ra,6.314,6.0668,0.2472
Ra,6.003,6.0481,-0.0451
Ra,6.448,6.4379,0.0101
Ra,6.418,6.3465,0.0715
Ra,6.208,6.3046,-0.0966
Ra,6.541,6.3962,0.1448
Ra,6.263,6.3371,-0.0741
Ra,6.179,5.9607,0.2183
Ra,5.877,6.0885,-0.2115
Ra,5.903,6.0385,-0.1355
Ra,5.992,5.7823,0.2097
Ra,5.964,5.9794,-0.0154
Ra,6.085,6.0343,0.0507
Ra,6.195,6.0436,0.1514
Ra,5.939,6.0192,-0.0802
Ra,6.012,5.9274,0.0846
Ra,5.943,5.9909,-0.0479
Ra,6.128,6.0474,0.0806
Ra,5.992,5.9965,-0.0045
Ra,6.003,5.9519,0.0511
Ra,5.908,5.9906,-0.0826
Ra,5.757,5.7619,-0.0049
Ra,6.0,5.9453,0.0547
Ra,5.875,6.0725,-0.1975
Ra,6.034,6.1321,-0.0981
Ra,6.174,5.9439,0.2301
Ra,6.171,5.9746,0.1964
Ra,6.163,5.8693,0.2937
Ra,6.175,6.2078,-0.0328
Ra,6.174,6.1289,0.0451
Ra,6.229,6.2402,-0.0112
Ra,6.03,6.0332,-0.0032
Ra,6.199,6.1362,0.0628
Ra,6.192,6.2691,-0.0771
Ra,6.089,6.2058,-0.1168
Ra,6.225,6.2727,-0.0477
Ra,6.209,6.2078,0.0012
Ra,5.862,6.0256,-0.1636
Ra,6.165,6.0626,0.1024
Ra,5.984,6.0048,-0.0208
Ra,6.205,6.4398,-0.2348
Ra,6.321,6.2156,0.1054
Ra,5.968,6.1733,-0.2053
Ra,6.108,6.0876,0.0204
Ra,6.085,6.2361,-0.1511
Ra,6.205,6.288,-0.083
Ra,6.752,6.3535,0.3985
Ra,5.589,5.785,-0.196
Ra,6.138,5.9487,0.1893
Ra,6.022,5.9533,0.0687
Ra,6.296,6.2661,0.0299
Ra,5.942,6.19,-0.248
Ra,7.225,6.0187,1.2063
Ra,7.513,6.4903,1.0227
Ra,5.769,6.0763,-0.3073
Ra,6.488,6.4015,0.0865
Ra,6.084,6.1317,-0.0477
Ra,5.542,5.6918,-0.1498
Ra,6.73,6.3955,0.3345
Ra,7.513,6.2546,1.2584
Ra,6.257,6.3415,-0.0845
Ra,6.855,6.1831,0.6719
Ra,7.136,6.3094,0.8266
Ra,7.083,6.5108,0.5722
Ra,7.09,6.3275,0.7625
Ra,7.117,6.6289,0.4881
Ra,6.83,6.3544,0.4756
Ra,6.425,6.4621,-0.0371
Ra,5.92,6.4043,-0.4843
Ra,7.021,6.958,0.063
Ra,5.889,6.2531,-0.3641
Ra,6.378,6.2249,0.1531
Ra,5.921,6.3611,-0.4401
Ra,5.985,6.4313,-0.4463
Ra,6.029,6.1079,-0.0789
Ra,5.797,5.8251,-0.0281
Ra,5.991,6.4581,-0.4671
Ra,5.954,6.4814,-0.5274
Ra,5.932,6.3296,-0.3976
Ra,5.976,6.4958,-0.5198
Ra,6.077,6.5599,-0.4829
Ra,6.088,6.3651,-0.2771
Ra,6.077,6.6969,-0.6199
Ra,6.038,6.4801,-0.4421
Ra,5.825,6.2933,-0.4683
Ra,5.916,6.3472,-0.4312
Ra,5.891,6.26,-0.369
Ra,6.008,6.4176,-0.4096
Ra,6.588,6.3194,0.2686
Ra,6.505,6.7625,-0.2575
Ra,6.654,6.4209,0.2331
Ra,6.195,6.1361,0.0589
Ra,7.199,6.5266,0.6724
Ra,6.312,6.1995,0.1125
Lp,78.3,78.5666,-0.2666
Lp,78.1,78.3113,-0.2113
Lp,78.1,78.2332,-0.1332
Lp,78.1,78.3113,-0.2113
Lp,78.0,78.2362,-0.2362
Lp,78.9,78.3113,0.5887
Lp,78.2,78.1644,0.0356
Lp,78.2,78.2139,-0.0139
Lp,78.5,78.5944,-0.0944
Lp,78.1,78.1644,-0.0644
Lp,78.4,78.2329,0.1671
Lp,78.4,78.1645,0.2355
Lp,78.4,78.2332,0.1668
Lp,79.3,78.5944,0.7056
Lp,78.6,78.3136,0.2864
Lp,78.4,78.1637,0.2363
Lp,78.2,78.3128,-0.1128
Lp,78.5,78.3136,0.1864
Lp,78.2,78.3113,-0.1113
Lp,78.4,78.2329,0.1671
Lp,78.2,78.2329,-0.0329
Lp,78.1,78.3324,-0.2324
Lp,77.9,78.1621,-0.2621
Lp,78.0,78.1644,-0.1644
Lp,78.3,78.1813,0.1187
Lp,78.1,78.1621,-0.0621
Lp,78.0,78.1644,-0.1644
Lp,78.2,78.1621,0.0379
Lp,78.0,78.1645,-0.1645
Lp,78.1,78.1813,-0.0813
Lp,78.0,78.1645,-0.1645
Lp,78.0,78.2187,-0.2187
Lp,78.5,78.3136,0.1864
Lp,79.6,79.659,-0.059
Lp,79.7,79.576,0.124
Lp,80.0,79.7128,0.2872
Lp,80.1,79.7221,0.3779
Lp,79.7,79.7294,-0.0294
Lp,80.0,79.7294,0.2706
Lp,80.4,79.6631,0.7369
Lp,79.7,79.6589,0.0411
Lp,80.4,79.498,0.902
Lp,80.4,79.659,0.741
Lp,80.4,79.7128,0.6872
Lp,80.4,79.659,0.741
Lp,80.4,79.659,0.741
Lp,80.2,79.659,0.541
Lp,79.5,79.5144,-0.0144
Lp,80.4,79.659,0.741
Lp,80.4,79.659,0.741
Lp,80.4,79.7221,0.6779
Lp,80.4,79.7294,0.6706
Lp,80.4,79.659,0.741
Lp,80.4,79.7294,0.6706
Lp,80.4,79.7294,0.6706
Lp,80.4,79.7249,0.6751
Lp,80.4,79.6624,0.7376
Lp,80.2,79.7294,0.4706
Lp,79.4,79.7249,-0.3249
Lp,79.4,79.7221,-0.3221
Lp,79.8,79.7294,0.0706
Lp,80.2,79.7221,0.4779
Lp,79.9,79.7249,0.1751
Lp,79.9,79.7221,0.1779
Lp,79.8,79.7318,0.0682
Lp,79.4,79.7128,-0.3128
Lp,80.5,80.4095,0.0905
Lp,80.4,80.3482,0.0518
Lp,80.5,80.3482,0.1518
Lp,80.5,80.3482,0.1518
Lp,80.4,80.3946,0.0054
Lp,80.5,80.3482,0.1518
Lp,80.4,80.3482,0.0518
Lp,80.5,80.3672,0.1328
Lp,80.4,80.3482,0.0518
Lp,80.5,80.3482,0.1518
Lp,79.9,80.0308,-0.1308
Lp,79.8,79.9504,-0.1504
Lp,80.5,80.3946,0.1054
Lp,80.1,80.0958,0.0042
Lp,79.8,79.8479,-0.0479
Lp,79.8,79.9504,-0.1504
Lp,80.0,80.1034,-0.1034
Lp,80.0,80.0958,-0.0958
Lp,80.5,80.4026,0.0974
Lp,80.7,80.3482,0.3518
Lp,80.8,80.4026,0.3974
Lp,80.0,79.9646,0.0354
Lp,80.4,79.9645,0.4355
Lp,80.5,80.0766,0.4234
Lp,80.3,80.0741,0.2259
Lp,80.3,79.8479,0.4521
Lp,80.7,80.3672,0.3328
Lp,80.8,80.4071,0.3929
Lp,80.7,80.4095,0.2905
Lp,80.6,80.4095,0.1905
Lp,80.7,80.3482,0.3518
Lp,80.7,80.3482,0.3518
Lp,80.7,80.3672,0.3328
Lp,82.3,82.1438,0.1562
Lp,82.4,81.692,0.708
Lp,82.0,81.7592,0.2408
Lp,82.9,82.2932,0.6068
Lp,82.9,82.2817,0.6183
Lp,82.3,82.2817,0.0183
Lp,81.8,81.7395,0.0605
Lp,82.9,82.2817,0.6183
Lp,81.3,81.8038,-0.5038
Lp,82.9,82.0345,0.8655
Lp,82.9,82.2932,0.6068
Lp,82.9,82.1505,0.7495
Lp,82.9,82.2917,0.6083
Lp,81.3,81.7507,-0.4507
Lp,81.8,81.7592,0.0408
Lp,82.9,81.5754,1.3246
Lp,82.9,81.5883,1.3117
Lp,82.9,82.2932,0.6068
Lp,82.9,82.2817,0.6183
Lp,82.9,82.3009,0.5991
Lp,82.4,82.2822,0.1178
Lp,82.3,82.2817,0.0183
Lp,82.3,82.2818,0.0182
Lp,82.5,81.5939,0.9061
Lp,82.4,82.2822,0.1178
Lp,82.4,82.035,0.365
Lp,81.9,81.7482,0.1518
Lp,81.9,81.7648,0.1352
Lp,81.8,81.7583,0.0417
Lp,81.9,81.759,0.141
Lp,81.9,81.7591,0.1409
Lp,81.9,81.7507,0.1493
Lp,81.9,81.7482,0.1518
Lp,78.3,77.3716,0.9284
Lp,78.5,77.4976,1.0024
Lp,78.4,77.3994,1.0006
Lp,78.4,77.3716,1.0284
Lp,78.3,77.3994,0.9006
Lp,78.3,77.4974,0.8026
Lp,78.3,77.3994,0.9006
Lp,78.3,77.3716,0.9284
Lp,78.4,77.8182,0.5818
Lp,78.4,77.3994,1.0006
Lp,78.4,77.7853,0.6147
Lp,78.3,77.6295,0.6705
Lp,78.5,77.7382,0.7618
Lp,78.2,77.8299,0.3701
Lp,78.5,77.6295,0.8705
Lp,78.3,77.437,0.863
Lp,77.5,77.7382,-0.2382
Lp,77.4,77.8299,-0.4299
Lp,77.4,77.6832,-0.2832
Lp,77.7,77.6294,0.0706
Lp,78.3,77.6291,0.6709
Lp,78.2,77.6294,0.5706
Lp,77.1,77.7382,-0.6382
Lp,77.5,77.6295,-0.1295
Lp,78.2,77.8299,0.3701
Lp,77.2,77.6294,-0.4294
Lp,78.6,77.6295,0.9705
Lp,78.0,77.8182,0.1818
Lp,77.4,77.3716,0.0284
Lp,77.9,77.6291,0.2709
Lp,78.1,77.6297,0.4703
Lp,78.0,77.7023,0.2977
Lp,78.2,77.6297,0.5703
