Target,Feature,Label,SHAP_value,Feature_value
Ra,f,Fo2 (f),-0.1335,-0.4472
Ra,f,Fo2 (f),-0.1332,-0.4472
Ra,f,Fo2 (f),-0.1247,-0.4472
Ra,f,Fo2 (f),-0.1375,-0.4472
Ra,f,Fo2 (f),-0.1149,-0.4472
Ra,f,Fo2 (f),-0.1206,-0.4472
Ra,f,Fo2 (f),-0.1411,-0.4472
Ra,f,Fo2 (f),-0.1204,-0.4472
Ra,f,Fo2 (f),-0.1369,-0.4472
Ra,f,Fo2 (f),-0.1174,-0.4472
Ra,f,Fo2 (f),-0.1469,-0.4472
Ra,f,Fo2 (f),-0.1322,-0.4472
Ra,f,Fo2 (f),0.0754,0.4472
Ra,f,Fo2 (f),-0.0029,0.4472
Ra,f,Fo2 (f),0.0515,0.4472
Ra,f,Fo2 (f),0.0876,0.4472
Ra,f,Fo2 (f),0.0524,0.4472
Ra,f,Fo2 (f),0.0603,0.4472
Ra,f,Fo2 (f),0.0684,0.4472
Ra,f,Fo2 (f),0.0692,0.4472
Ra,f,Fo2 (f),0.1014,0.4472
Ra,f,Fo2 (f),0.1031,0.4472
Ra,f,Fo2 (f),0.0984,0.4472
Ra,f,Fo2 (f),0.1393,0.4472
Ra,f,Fo2 (f),0.0778,0.4472
Ra,f,Fo2 (f),0.0991,0.4472
Ra,f,Fo2 (f),0.1094,0.4472
Ra,f,Fo2 (f),0.1133,0.4472
Ra,f,Fo2 (f),0.0766,0.4472
Ra,f,Fo2 (f),0.1455,0.4472
Ra,f,Fo2 (f),0.0449,0.4472
Ra,f,Fo2 (f),0.0622,0.4472
Ra,f,Fo2 (f),0.0445,0.4472
Ra,f,Fo2 (f),0.0889,0.4472
Ra,f,Fo2 (f),0.0904,0.4472
Ra,f,Fo2 (f),0.0993,0.4472
Ra,f,Fo2 (f),0.0788,0.4472
Ra,f,Fo2 (f),0.1182,0.4472
Ra,f,Fo2 (f),0.1056,0.4472
Ra,f,Fo2 (f),0.0791,0.4472
Ra,f,Fo2 (f),0.0172,0.4472
Ra,f,Fo2 (f),0.0821,0.4472
Ra,f,Fo2 (f),-0.0045,0.4472
Ra,f,Fo2 (f),-0.0118,0.4472
Ra,f,Fo2 (f),0.071,0.4472
Ra,f,Fo2 (f),0.2535,1.3416
Ra,f,Fo2 (f),0.4315,1.3416
Ra,f,Fo2 (f),0.1745,1.3416
Ra,f,Fo2 (f),0.1729,1.3416
Ra,f,Fo2 (f),0.2069,1.3416
Ra,f,Fo2 (f),0.2076,1.3416
Ra,f,Fo2 (f),0.2337,1.3416
Ra,f,Fo2 (f),0.2388,1.3416
Ra,f,Fo2 (f),0.2175,1.3416
Ra,f,Fo2 (f),0.1668,1.3416
Ra,f,Fo2 (f),0.2166,1.3416
Ra,f,Fo2 (f),0.1975,1.3416
Ra,f,Fo2 (f),0.1691,1.3416
Ra,f,Fo2 (f),0.2559,1.3416
Ra,f,Fo2 (f),0.3838,1.3416
Ra,f,Fo2 (f),0.2548,1.3416
Ra,f,Fo2 (f),0.3748,1.3416
Ra,f,Fo2 (f),0.3664,1.3416
Ra,f,Fo2 (f),0.3663,1.3416
Ra,f,Fo2 (f),0.3708,1.3416
Ra,f,Fo2 (f),0.3733,1.3416
Ra,f,Fo2 (f),0.3765,1.3416
Ra,f,Fo2 (f),0.4286,1.3416
Ra,f,Fo2 (f),0.2402,1.3416
Ra,f,Fo2 (f),0.2136,1.3416
Ra,f,Fo2 (f),0.2166,1.3416
Ra,f,Fo2 (f),0.2183,1.3416
Ra,f,Fo2 (f),0.2118,1.3416
Ra,f,Fo2 (f),0.2153,1.3416
Ra,f,Fo2 (f),0.1486,1.3416
Ra,f,Fo2 (f),0.2449,1.3416
Ra,f,Fo2 (f),0.2225,1.3416
Ra,f,Fo2 (f),0.2521,1.3416
Ra,f,Fo2 (f),-0.1095,-1.3416
Ra,f,Fo2 (f),-0.1209,-1.3416
Ra,f,Fo2 (f),-0.114,-1.3416
Ra,f,Fo2 (f),-0.116,-1.3416
Ra,f,Fo2 (f),-0.1052,-1.3416
Ra,f,Fo2 (f),-0.1148,-1.3416
Ra,f,Fo2 (f),-0.1265,-1.3416
Ra,f,Fo2 (f),-0.1135,-1.3416
Ra,f,Fo2 (f),-0.122,-1.3416
Ra,f,Fo2 (f),-0.1176,-1.3416
Ra,f,Fo2 (f),-0.1144,-1.3416
Ra,f,Fo2 (f),-0.1285,-1.3416
Ra,f,Fo2 (f),-0.1146,-1.3416
Ra,f,Fo2 (f),-0.133,-1.3416
Ra,f,Fo2 (f),-0.1051,-1.3416
Ra,f,Fo2 (f),-0.1226,-1.3416
Ra,f,Fo2 (f),-0.1182,-1.3416
Ra,f,Fo2 (f),-0.1157,-1.3416
Ra,f,Fo2 (f),-0.1127,-1.3416
Ra,f,Fo2 (f),-0.1,-1.3416
Ra,f,Fo2 (f),-0.0993,-1.3416
Ra,f,Fo2 (f),-0.0904,-1.3416
Ra,f,Fo2 (f),-0.0892,-1.3416
Ra,f,Fo2 (f),-0.0908,-1.3416
Ra,f,Fo2 (f),-0.0866,-1.3416
Ra,f,Fo2 (f),-0.0928,-1.3416
Ra,f,Fo2 (f),-0.0917,-1.3416
Ra,f,Fo2 (f),-0.0898,-1.3416
