Target,Actual,Predicted,Residual
Ra,5.823,5.9221,-0.0991
Ra,5.815,5.9373,-0.1223
Ra,6.03,6.0459,-0.0159
Ra,6.17,5.9314,0.2386
Ra,5.476,5.4738,0.0022
Ra,6.248,6.1679,0.0801
Ra,5.527,5.6349,-0.1079
Ra,6.315,6.2916,0.0234
Ra,5.457,5.5021,-0.0451
Ra,6.059,6.2159,-0.1569
Ra,5.472,5.5425,-0.0705
Ra,5.913,5.8005,0.1125
Ra,5.499,5.6272,-0.1282
Ra,5.683,5.6923,-0.0093
Ra,5.536,5.6563,-0.1203
Ra,5.658,5.7054,-0.0474
Ra,5.348,5.4812,-0.1332
Ra,5.717,5.8111,-0.0941
Ra,5.716,5.8105,-0.0945
Ra,6.376,6.3786,-0.0026
Ra,6.217,6.3084,-0.0914
Ra,6.321,6.3405,-0.0195
Ra,6.261,6.3296,-0.0686
Ra,6.138,6.4197,-0.2817
Ra,6.159,6.0235,0.1355
Ra,6.028,6.0263,0.0017
Ra,5.833,6.0101,-0.1771
Ra,6.054,6.212,-0.158
Ra,6.196,6.282,-0.086
Ra,5.91,6.1244,-0.2144
Ra,6.277,6.2162,0.0608
Ra,6.48,6.3306,0.1494
Ra,6.372,6.3411,0.0309
Ra,6.34,6.3978,-0.0578
Ra,6.499,6.4631,0.0359
Ra,6.41,6.2544,0.1556
Ra,5.99,5.8523,0.1377
Ra,6.429,6.2544,0.1746
Ra,6.284,6.3079,-0.0239
Ra,6.482,6.4103,0.0717
Ra,6.269,6.354,-0.085
Ra,6.252,6.2327,0.0193
Ra,6.369,6.4867,-0.1177
Ra,5.864,5.9687,-0.1047
Ra,6.278,6.3223,-0.0443
Ra,6.322,6.4241,-0.1021
Ra,5.889,6.0915,-0.2025
Ra,6.136,6.1125,0.0235
Ra,5.823,5.8538,-0.0308
Ra,5.787,6.0284,-0.2414
Ra,5.921,6.1061,-0.1851
Ra,5.662,5.9671,-0.3051
Ra,6.528,6.513,0.015
Ra,6.072,6.2575,-0.1855
Ra,5.959,6.079,-0.12
Ra,6.442,6.4005,0.0415
Ra,6.631,6.7105,-0.0795
Ra,6.576,6.4363,0.1397
Ra,6.075,6.1679,-0.0929
Ra,6.773,6.5631,0.2099
Ra,6.055,5.909,0.146
Ra,6.553,6.5215,0.0315
Ra,6.475,6.3968,0.0782
Ra,6.766,6.5766,0.1894
Ra,6.36,6.3286,0.0314
Ra,6.318,6.4286,-0.1106
Ra,6.109,5.9193,0.1897
Ra,6.055,6.2365,-0.1815
Ra,5.76,5.6845,0.0755
Ra,5.991,6.1042,-0.1132
Ra,6.4,6.4704,-0.0704
Ra,6.655,6.5592,0.0958
Ra,6.428,6.4966,-0.0686
Ra,6.467,6.551,-0.084
Ra,6.336,6.4581,-0.1221
Ra,6.441,6.5268,-0.0858
Ra,6.199,6.3134,-0.1144
Ra,6.627,6.3105,0.3165
Ra,6.287,6.3139,-0.0269
Ra,6.645,6.57,0.075
Ra,6.164,6.3021,-0.1381
Ra,6.646,6.6192,0.0268
Ra,6.253,6.2141,0.0389
Ra,6.551,6.5077,0.0433
Ra,6.088,6.1763,-0.0883
Lp,77.0,77.0695,-0.0695
Lp,76.7,77.0695,-0.3695
Lp,76.9,77.0695,-0.1695
Lp,76.9,77.0695,-0.1695
Lp,76.8,77.0695,-0.2695
