Target,Feature,Label,SHAP_value,Feature_value
Ra,P,Fo6 (P),0.0166,-0.1417
Ra,P,Fo6 (P),-0.034,-0.2172
Ra,P,Fo6 (P),0.012,-0.1533
Ra,P,Fo6 (P),-0.0426,-0.2404
Ra,P,Fo6 (P),0.0122,-0.1301
Ra,P,Fo6 (P),-0.0327,-0.2056
Ra,P,Fo6 (P),-0.0284,-0.1998
Ra,P,Fo6 (P),-0.0362,-0.2636
Ra,P,Fo6 (P),-0.0378,-0.2578
Ra,P,Fo6 (P),-0.0823,0.0266
Ra,P,Fo6 (P),-0.0831,-0.0198
Ra,P,Fo6 (P),-0.0485,-0.0663
Ra,P,Fo6 (P),-0.0846,-0.0314
Ra,P,Fo6 (P),-0.0836,0.0382
Ra,P,Fo6 (P),-0.0796,0.0382
Ra,P,Fo6 (P),-0.0452,-0.1069
Ra,P,Fo6 (P),-0.0713,0.0382
Ra,P,Fo6 (P),-0.0615,0.1195
Ra,P,Fo6 (P),-0.059,0.1079
Ra,P,Fo6 (P),-0.0513,0.2472
Ra,P,Fo6 (P),-0.0459,0.1543
Ra,P,Fo6 (P),-0.0583,0.1253
Ra,P,Fo6 (P),-0.0473,0.0904
Ra,P,Fo6 (P),-0.0519,0.1021
Ra,P,Fo6 (P),-0.0606,0.0788
Ra,P,Fo6 (P),-0.0709,0.0962
Ra,P,Fo6 (P),-0.0606,0.1311
Ra,P,Fo6 (P),-0.0576,0.073
Ra,P,Fo6 (P),-0.0563,0.0904
Ra,P,Fo6 (P),-0.0561,0.0498
Ra,P,Fo6 (P),-0.0532,0.0788
Ra,P,Fo6 (P),-0.0739,-0.0256
Ra,P,Fo6 (P),-0.0455,0.073
Ra,P,Fo6 (P),-0.0686,-0.0488
Ra,P,Fo6 (P),-0.0789,0.0382
Ra,P,Fo6 (P),-0.053,-0.0547
Ra,P,Fo6 (P),-0.0739,-0.0256
Ra,P,Fo6 (P),-0.0313,-0.0721
Ra,P,Fo6 (P),0.0821,-0.0895
Ra,P,Fo6 (P),-0.1035,-0.2172
Ra,P,Fo6 (P),0.078,-0.0779
Ra,P,Fo6 (P),-0.0304,-0.0663
Ra,P,Fo6 (P),-0.161,-0.1127
Ra,P,Fo6 (P),-0.1416,-0.0314
Ra,P,Fo6 (P),-0.0298,-0.1417
Ra,P,Fo6 (P),-0.1474,-0.1011
Ra,P,Fo6 (P),-0.0161,-0.1417
Ra,P,Fo6 (P),-0.1113,-0.2984
Ra,P,Fo6 (P),0.0191,-0.4841
Ra,P,Fo6 (P),-0.0648,0.0266
Ra,P,Fo6 (P),-0.0767,-0.014
Ra,P,Fo6 (P),-0.0214,-0.0663
Ra,P,Fo6 (P),-0.0653,0.044
Ra,P,Fo6 (P),-0.0428,0.0034
Ra,P,Fo6 (P),-0.06,0.015
Ra,P,Fo6 (P),-0.0567,0.015
Ra,P,Fo6 (P),-0.0154,-0.1127
Ra,P,Fo6 (P),-0.0298,-0.0488
Ra,P,Fo6 (P),-0.0585,0.0266
Ra,P,Fo6 (P),-0.0007,0.0614
Ra,P,Fo6 (P),-0.0761,-0.043
Ra,P,Fo6 (P),-0.0798,-0.1939
Ra,P,Fo6 (P),-0.0368,-0.1533
Ra,P,Fo6 (P),-0.0392,-0.0024
Ra,P,Fo6 (P),-0.0318,-0.0198
Ra,P,Fo6 (P),-0.0593,-0.0314
Ra,P,Fo6 (P),-0.0736,-0.0372
Ra,P,Fo6 (P),-0.0432,0.073
Ra,P,Fo6 (P),-0.0211,-0.1475
Ra,P,Fo6 (P),-0.1543,-0.014
Ra,P,Fo6 (P),-0.1381,-0.0721
Ra,P,Fo6 (P),-0.1605,-0.1359
Ra,P,Fo6 (P),-0.1468,-0.1649
Ra,P,Fo6 (P),-0.1296,-0.281
Ra,P,Fo6 (P),-0.1438,-0.2926
Ra,P,Fo6 (P),0.0354,1.0829
Ra,P,Fo6 (P),0.0575,1.0191
Ra,P,Fo6 (P),0.0517,1.0191
Ra,P,Fo6 (P),0.0419,0.9901
Ra,P,Fo6 (P),-0.0089,0.9901
Ra,P,Fo6 (P),0.0393,1.0017
Ra,P,Fo6 (P),0.0565,1.0017
Ra,P,Fo6 (P),0.0018,1.0597
Ra,P,Fo6 (P),-0.0032,1.0597
Ra,P,Fo6 (P),0.0281,1.0539
Ra,P,Fo6 (P),-0.0123,1.1584
Ra,P,Fo6 (P),-0.0128,1.1584
Ra,P,Fo6 (P),-0.0119,1.1816
Ra,P,Fo6 (P),0.0225,1.1816
Ra,P,Fo6 (P),0.0201,1.1642
Ra,P,Fo6 (P),-0.0077,1.1642
Ra,P,Fo6 (P),-0.0203,1.1642
Ra,P,Fo6 (P),0.0244,1.1642
Ra,P,Fo6 (P),-0.0101,1.1468
Ra,P,Fo6 (P),-0.0092,1.1468
Ra,P,Fo6 (P),0.0178,1.1584
Ra,P,Fo6 (P),-0.0116,1.1874
Ra,P,Fo6 (P),0.0388,1.228
Ra,P,Fo6 (P),0.011,1.3151
Ra,P,Fo6 (P),0.0889,1.3151
Ra,P,Fo6 (P),0.0256,1.2803
Ra,P,Fo6 (P),0.0264,1.2803
Ra,P,Fo6 (P),-0.016,1.1874
Ra,P,Fo6 (P),0.1446,1.2803
Ra,P,Fo6 (P),0.1027,1.2803
